city;lat;lng;country;iso2;admin_name;capital;population;population_proper
Amsterdam;523.667;48.833;Netherlands;NL;Noord-Holland;primary;862965;862965
Rotterdam;519.225;44.792;Netherlands;NL;Zuid-Holland;minor;631155;631155
Den haag;520.767;42.986;Netherlands;NL;Zuid-Holland;primary;1406000;501725
Utrecht;520.908;51.222;Netherlands;NL;Utrecht;admin;640000;316448
Eindhoven;514.408;54.778;Netherlands;NL;Noord-Brabant;minor;398053;209620
Almere;523.758;52.256;Netherlands;NL;Flevoland;minor;207904;207904
Groningen;532.167;65.667;Netherlands;NL;Groningen;admin;201462;201462
Breda;515.875;47.750;Netherlands;NL;Noord-Brabant;minor;183873;183873
Apeldoorn;522.100;59.700;Netherlands;NL;Gelderland;minor;161156;161156
Haarlem;523.803;46.406;Netherlands;NL;Noord-Holland;admin;159134;159134
Zaanstad;524.697;47.767;Netherlands;NL;Noord-Holland;;154037;154037
Arnhem;519.833;59.167;Netherlands;NL;Gelderland;admin;148070;148070
s-Hertogenbosch;516.833;53.167;Netherlands;NL;Noord-Brabant;admin;134520;134520
Leeuwarden;532.000;57.833;Netherlands;NL;Fryslân;admin;124084;124084
Maastricht;508.483;56.889;Netherlands;NL;Limburg;admin;122378;122378
Zwolle;525.125;60.944;Netherlands;NL;Overijssel;admin;111805;111805
Heemskerk;525.108;46.728;Netherlands;NL;Noord-Holland;minor;39164;39164
Veghel;516.169;55.481;Netherlands;NL;Noord-Brabant;minor;38077;38077
Goes;515.000;38.833;Netherlands;NL;Zeeland;minor;37739;37739
Venlo;513.700;61.681;Netherlands;NL;Limburg;minor;37663;37663
Landgraaf;509.083;60.297;Netherlands;NL;Limburg;minor;37591;37591
Teijlingen;522.150;45.103;Netherlands;NL;Zuid-Holland;;37061;37061
Geleen;509.667;58.333;Netherlands;NL;Limburg;;36958;36958
Hellendoorn;523.885;64.497;Netherlands;NL;Overijssel;;35808;35808
Castricum;525.517;46.583;Netherlands;NL;Noord-Holland;minor;35772;35772
Gorinchem;518.306;49.742;Netherlands;NL;Zuid-Holland;minor;35255;35255
IJsselstein;520.200;50.422;Netherlands;NL;Utrecht;minor;34160;34160
Sneek;530.325;56.600;Netherlands;NL;Fryslân;minor;33855;33855
Maassluis;519.189;42.567;Netherlands;NL;Zuid-Holland;minor;32768;32768
Bussum;522.733;51.611;Netherlands;NL;Noord-Holland;minor;32410;32410
Deurne;514.639;57.947;Netherlands;NL;Noord-Brabant;minor;32362;32362
Oldenzaal;523.125;69.292;Netherlands;NL;Overijssel;minor;31840;31840
Aalsmeer;522.639;47.625;Netherlands;NL;Noord-Holland;minor;31728;31728
Rosmalen;517.167;53.667;Netherlands;NL;Noord-Brabant;;31219;31219
Boxtel;515.911;53.275;Netherlands;NL;Noord-Brabant;minor;30747;30747
Leusden;521.331;54.297;Netherlands;NL;Utrecht;minor;30030;30030
Bergen;526.703;47.054;Netherlands;NL;Noord-Holland;;29974;29974
Heesch;517.314;55.300;Netherlands;NL;Noord-Brabant;minor;29728;29728
Oosterend;530.036;60.664;Netherlands;NL;Fryslân;;29723;29723
Krimpen aan den IJssel;519.200;46.000;Netherlands;NL;Zuid-Holland;minor;29376;29376
Diemen;523.439;49.625;Netherlands;NL;Noord-Holland;minor;29196;29196
Boxmeer;516.483;59.444;Netherlands;NL;Noord-Brabant;minor;29065;29065
Sint-Michielsgestel;516.433;53.586;Netherlands;NL;Noord-Brabant;minor;28991;28991
Winterswijk;519.667;67.167;Netherlands;NL;Gelderland;minor;28903;28903
Culemborg;519.500;52.333;Netherlands;NL;Gelderland;minor;28555;28555
Heerenveen;529.500;59.333;Netherlands;NL;Fryslân;minor;28497;28497
Geldrop;514.222;55.578;Netherlands;NL;Noord-Brabant;minor;28222;28222
Brunssum;509.500;59.667;Netherlands;NL;Limburg;minor;28103;28103
Wisch;519.333;63.167;Netherlands;NL;Gelderland;;19911;19911
Vriezenveen;524.117;66.256;Netherlands;NL;Overijssel;minor;19875;19875
Helden;513.167;60.000;Netherlands;NL;Limburg;;19502;19502
Tegelen;513.422;61.364;Netherlands;NL;Limburg;;19337;19337
Someren;513.847;57.119;Netherlands;NL;Noord-Brabant;minor;19322;19322
Echt;511.058;58.706;Netherlands;NL;Limburg;minor;19237;19237
Lichtenvoorde;519.833;65.667;Netherlands;NL;Gelderland;minor;19224;19224
Eersel;513.572;53.147;Netherlands;NL;Noord-Brabant;minor;19110;19110
Meerssen;508.858;57.519;Netherlands;NL;Limburg;minor;18923;18923
Zuidhorn;532.468;64.077;Netherlands;NL;Groningen;minor;18917;18917
Groesbeek;517.833;59.333;Netherlands;NL;Gelderland;minor;18870;18870
Edam;525.167;50.500;Netherlands;NL;Noord-Holland;;18828;18828
Druten;518.889;56.044;Netherlands;NL;Gelderland;minor;18797;18797
Oirschot;515.047;53.128;Netherlands;NL;Noord-Brabant;minor;18623;18623
Bergeijk;513.203;53.592;Netherlands;NL;Noord-Brabant;minor;18491;18491
Veur;520.833;44.333;Netherlands;NL;Zuid-Holland;;3590;3590
Vledder;528.556;62.103;Netherlands;NL;Drenthe;;3590;3590
Diever;528.556;63.175;Netherlands;NL;Drenthe;minor;3571;3571
Sint Odiliënberg;511.425;60.017;Netherlands;NL;Limburg;minor;3565;3565
Muiden;523.292;50.714;Netherlands;NL;Noord-Holland;minor;3535;3535
Herten;511.803;59.633;Netherlands;NL;Limburg;;3516;3516
Zuid-Beijerland;517.514;43.678;Netherlands;NL;Zuid-Holland;;3445;3445
Moerkapelle;520.456;45.753;Netherlands;NL;Zuid-Holland;;3444;3444
Koudekerke;514.808;35.528;Netherlands;NL;Zeeland;;3419;3419
Willemstad;516.919;44.378;Netherlands;NL;Noord-Brabant;;3370;3370
Amstenrade;509.383;59.222;Netherlands;NL;Limburg;;3350;3350
Meerlo;515.119;60.856;Netherlands;NL;Limburg;;3317;3317
Hoogwoud;527.153;49.367;Netherlands;NL;Noord-Holland;;3258;3258
Ooltgensplaat;516.825;43.492;Netherlands;NL;Zuid-Holland;;3230;3230
Dreumel;518.492;54.325;Netherlands;NL;Gelderland;;3150;3150
Overasselt;517.597;57.875;Netherlands;NL;Gelderland;;3124;3124
Rossum;518.008;53.356;Netherlands;NL;Gelderland;;3102;3102
Oude-Tonge;516.914;42.128;Netherlands;NL;Zuid-Holland;;3101;3101
Maasdam;517.881;45.561;Netherlands;NL;Zuid-Holland;minor;3087;3087
Kortenhoef;522.397;51.147;Netherlands;NL;Noord-Holland;;3085;3085
Amby;508.667;57.333;Netherlands;NL;Limburg;;3038;3038
Dinther;516.450;54.864;Netherlands;NL;Noord-Brabant;;3014;3014
Meerkerk;519.200;49.942;Netherlands;NL;Zuid-Holland;minor;3007;3007
IJzendijke;513.214;36.164;Netherlands;NL;Zeeland;;3006;3006
Eenrum;533.625;64.606;Netherlands;NL;Groningen;;3001;3001
Oudshoorn;521.333;46.667;Netherlands;NL;Zuid-Holland;;2994;2994
