Study ID,Gender,Age (range),Education
P1,Male,23,Studied bachelor at University of Applied Sciences
P2,Female,19,Following pre-university education (VWO)
P3,Female,21,Studying bachelor at University of Applied Sciences
P4,Female,23,Completed bachelor at University
P5,Female,23,Studying master at University
P6,Female,25,Studying master at University
P7,Male,23,Studying bachelor at University
P8,Female,23,Studying master at University
P9,Male,24,Studying master at University
P10,Female,24,Studying master at University
P11,Female,28,Studying master at University
P12,Male,25,Studying master at University
P13,Male,21,Studying bachelor at University of Applied Sciences
P14,Male,25,Studying bachelor at University of Applied Sciences
P15,Male,26,Studying bachelor at University of Applied Sciences
P16,Female,55,Completed bachelor at University of Applied Sciences
P17,Male,21,Studying bachelor at University
P18,Male,57,Completed master at University